,,,,,,,,,Prospective Consumer as on 01.09.14,,,,,,,,,,
GOMD,TSC,Sub-Station,Consumer,Initial CD(MVA),Final CD (MVA),Application Date,Feasibility request Received,Feasibility request Sent,Feasibility Report Received,Feasibility Report sent,Detail request Received,Detail request Sent,Detail  Report Received,Detail  Report sent,Latest Status,From,Sent To,Date,Remark
GOMD-II,TSC-II,Kalyaneshwari,Padma Iron Products Pvt. Ltd.,12,22.5,16/11/11,30/03/13,30/03/13,27/04/13,02/05/13,31.03.12 23.09.13,06.06.12 23.09.13,04/12/13,21/01/14,Detail Report ,CE(TSC),CE(SPE),21/01/14,
GOMD-II,TSC-II,Kalyaneshwari,Impex Steel Ltd. (132KV),24,30,28/12/12,,,,,,,,,Silent,CE(Coml.),CE(PSR),01/03/12,Coml./PS/ISL/Kalyaneswari/8277
GOMD-II,TSC-II,Kalyaneshwari,Ambay Coke Indistries (P) Ltd,5,5,23/08/11,16/11/12,17.11.12 18.05.13,03/01/14,03/01/14,,,,,Feasibility Report,CE(TSC),CE(SPE),03/01/14,
GOMD-II,TSC-II,KUMARDHUBI,"Ma Chandi Durga Ispat Ltd., Nala (at 132 KV)",5,70,05.07.2007,,,,,,,,,Silent,CE(Coml.),Consumer,18/02/10,Last Reminder sent from commercial
GOMD-II,TSC-II,KUMARDHUBI,Shri Ram Dhatu Udyog (Pvt.) Ltd.,3.5,3.5,30.05.2005,,,,,,,,,Silent,CE(Coml.),Consumer,11/07/10,Coml./PS/SRDUPL/Kumardubi/1840
GOMD-II,TSC-II,KUMARDHUBI,Ma Chandi Durga Ispat Ltd.(at Neersa),5,5,05.07.2007,,,,,,,,,Silent,CE(Coml.),Consumer,18/02/11,Last Reminder sent from commercial on 
GOMD-II,TSC-II,KUMARDHUBI,Mcnally Sayaji Engineering Ltd.,1.2,1.2,19/10/11,,,,,14/04/12,16/04/12,22/08/12,23/08/12,Detail report,CE(TSC),CE(PSR),23/08/12,waiting for Constn. Clearance. Route profile already handed over to consumer as advised by PSR
GOMD-II,TSC-II,KUMARDHUBI,Dolphin Engineering Works,1,1,08/07/08,08.03.13 10.04.13,13.03.13 11.04.13 17.05.13,31/12/13,02/01/14,,,,,Feasibility Report,CE(TSC),CE(SPE),02/01/14,
GOMD-II,TSC-II,KUMARDHUBI,"BCCL, Dahibari",1.5,6.5,09.05.13 14.02.2014,13.07.13 19.08.14,15.07.13 14.02.14 19.08.14,,11/11/13,,,,,Feasibility Report,CE(Coml.),Consumer,20.01.2015,Revised survey report sent.
GOMD-II,TSC-II,KUMARDHUBI,ER Kumardhubi,9,9,23/07/14,02/09/14,02/09/14,,,,,,,Feasibility Report,CE(TSC),CE(SPE),14.11.14,Feasibility report sent
GOMD-II,TSC-II,Maithon,"ECL, Dhanbad",40,40,01.12.2009,,,,,,,,,Feasibility Report,CE(Coml.),Consumer,26/05/10,Coml./PS/ECL/Maithon/556
GOMD-II,TSC-II,Maithon L/B,Adhunik Corporation Limited (Neersa),5,70,06.07.2007,,,,,,,,,Silent,CE(Coml.),Consumer,05/08/10,        Revised Coml./PS/ACL/Purulia/1123 (No response)
GOMD-II,TSC-II,Raghunathpur,Adhunik Corpn Ltd.,70,125,24/08/07,,,,,,,,,Silent,,,24/08/07,
GOMD-II,TSC-II,Raghunathpur,Bankura Dri Mining Manufacturers Co. Pvt. Ltd.,1,2.5,28/04/09,,,,,,,,,Silent,CE(Coml.),Consumer,15/07/09,Coml./PS/BDMMCPL/1149
GOMD-II,TSC-II,Ramkanali,Lakshmi Steel Industries (P) Ltd.,12,20,05/08/08,,30/10/08,,,,,,,Silent,CE(TSC),SE(E/Z),30/10/08, CE/TSC/NS-LSI(P)/L/1709 (letter issued from Coml. for confirmation of Mouza which is not confirmed by the consumer)
GOMD-II,TSC-II,Ramkanali,Rashmi Metaliks Ltd. at 132 KV,5,20,02.06.2009,,,,,,,,,Detail Report,CE(Coml.),Consumer,09/01/12,Coml./PS/RCL/Jamuria/7619
GOMD-II,TSC-II,Ramkanali,SRMB Srijan Limited (132 KV),100,300,25/08/08,,,,,,,,,Silent,,,25/08/08,
GOMD-II,TSC-II,RTPS,Emami Cement Ltd.,1,12,05/09/14,15/09/14,17/09/14,"31.10.14, 17.11.14","31.10.14, 18.11.14",,,,,Detail requested,CE(TSC),DCE(E/Z),15.01.15,"One report from RTPS has been forwared from SPE to Coml. on 10.11.14, another report from Ramkanali has been forwarded from CE(TSC) to SPE on 18.11.14 Detail survey requested on 15.01.15 (at 33KV and 132KV) LOI issued"
GOMD-III,TSC-II,PURULIA,Bokaro Alloys Ltd.,0.5,10,04/06/13,02.07.13 07.02.14,03.07.13 07.02.14,30/12/13,31.12.2013 04.12.2014,,,,,Feasibility Report,CE(TSC),CE(SPE),04.12.14,
GOMD-III,TSC-II,Purulia,Jai Balaji Sponge Limited,15,590,29/03/07,,,,,,,,,Silent,,,29/03/07,
GOMD-III,TSC-II,Purulia,Shyam Steel Industries Ltd.(at 220 KV),2,135,03/12/07,,,,,,,,,Silent,,,03/12/07,email
GOMD-III,TSC-II,Purulia,Pragati Cement (India) Pvt. Ltd.,1,2,28/05/12,20.06.12 31.07.12,20.06.12 01.08.12,10/09/12,11/09/12,,,,,Feasibility Report,CE(TSC),CE(PSR),11/09/12,no further advice received
GOMD-IV,TSC-III,BIADA,Shree Ram Alloys & Ingots Pvt. Ltd.,4,6,28/01/10,,07/12/05,,,,,,,Silent,CE(TSC),SE(E/Z),07/12/05,Silent
GOMD-IV,TSC-III,BIADA,Sundaram Steels Pvt. Ltd.,0.2,0.5,19/02/09,,,,,,,,,Silent,CE(Coml.),Consumer,10/05/10,Coml./PS/SSPL/BIADA/389
GOMD-IV,TSC-III,BIADA,JSEB(Ghorabali),20,20,27/01/10,18/02/12,20/02/12,31/10/12,05/11/12,,,,,Feasibility Report ,CE(TSC),CE(PSR),05/11/12,further advice for DS not received
GOMD-IV,TSC-III,BIADA,JSEB(Balidih),,15,11/11/13,27/11/13,28/11/13,17/01/14,17/01/14,,,,,Feasibility Report ,CE(TSC),CE(SPE),17/01/14,Both Gorabali & Balidih S/s are same S/s and earlier report still valid.
GOMD-IV,TSC-III,BIADA,Maa Kali Papers Ltd.,2,2,12/10/11,30/04/12,30/04/12,04/01/13,16/01/13,28/02/13,28/02/13,03/10/13,04/10/13,Detail Report,CE(Coml),Consumer,29/10/13,"Division has been requested to confirm the previous detail report is still valid (21.01.2015) Report sent on 13.02.2015, and the report is still valid."
GOMD-IV,TSC-III,BIADA,Kuber TMT Plant Pvt. Ltd.,0.5,1,11/12/08,10/05/12,11/05/12,02/11/12,09/11/12,28/01/13,28/01/13,01/03/13,04/03/13,Detail Report,CE(SPE),CE(Coml),15.03.2015,waiting for Constn. Clearance
GOMD-IV,TSC-III,BIADA,Amit Steel Pvt. Ltd,0.5,0.5,04.08.14,20.09.14,20.09.14,31.10.14,02.01.2015,,,,,Survey Report,CE(SPE),CE(Coml),07.02.15,"Estimate sent to Coml on Feb 7, 2015"
GOMD-IV,TSC-III,BIADA,Ashoka Foundry & Equipment (P) Ltd. ,0.5,0.5,06/08/14,13/08/14,13/08/14,06.01.15,08.01.15,,,,,Survey Report,CE(SPE),CE(Coml),09.02.15,"Estimate sent to Coml on Feb 9, 2015"
GOMD-IV,TSC-III,BIADA,"SER, Kurmidih, Bokaro Steel",1.5,1.5,17.11.14,20.11.14,20.11.14,,,,,,,Feasibility Requested ,CE(TSC),DCE(W/Z),20.11.14,
GOMD-IV,TSC-III,BIADA,Esh Ispat Pvt. Ltd.,3,5,20/12/2014,01.01.2015,,,,,,,,Feasibility Requested,CE(TSC),DCE(W/Z),01.01.2015,reqest sent to division 
GOMD-IV,TSC-III,BIADA,Eastern Naphtha-chem Pvt. Ltd.,0.5,0.5,,19.01.15,19.01.15,,,,,,,Survey Requested,CE(TSC),DCE(W/Z),19.01.15,
GOMD-IV,TSC-III,BTPS,Indian Explosives Ltd,2.5,2.5,28/11/11,,,,,12.05.12 04.07.12,14.05.12 04.07.12,09/11/12,14/09/12,Detail Report,CE(PSR),CE(Coml.),19/09/12,waiting for Constn. Clearance.
GOMD-IV,TSC-III,BTPS,Central Coalfields Limited (CCL) (Karo & Konar) (Bermo),16,16,29.02.2008,,,,24/02/12,24/09/12,24.09.12 28.02.13 03.04.13 20.05.13,03.05.13 22.08.13 & 10.06.14  (Revised),04.05.13 26.08.13 & 30.06.14 (Revised),Detail Report,CE(Coml),Consumer,27.01.2015,Report sent with Estimation sent
GOMD-IV,TSC-III,CTPS,JSEB (Kharpitto),5,5,30/08/13,21.10.13;  30.11.13,21.10.13; 30.11.13,19/12/13,20/12/13,01.08.14,04.08.14,,,Detail Requested,CE(TSC),CE(SPE),20/12/13,Detail Survey will be carried out by M/s G.D. Surveyers(P) Ltd. WO issued for detail survey on 16.12.2014. 50% survey completed.
GOMD-IV,TSC-III,DHANBAD,Ambay Cement,0.75,0.75,14/01/08,26/03/10,27/03/10,,24/11/12,05/10/13,10.05.13,,,Detail Requested,CE(TSC),"SDE,TSC-III",10.05.13,"DS is under progress, Severe ROW observed, however consumer is liasioning with villagers."
GOMD-IV,TSC-III,DHANBAD,Dudani Fuels (P) Ltd.,0.5,0.75,15.03.2010,,02.09.10 ; 27.03.12,04/04/12,04/06/12,06/07/12,13/06/12,24/11/12,30/11/12,Detail Report,CE(Coml.),Consumer,17/12/12,waiting for Constn. clearance
GOMD-IV,TSC-III,DHANBAD,JSEB(Godhar),14,14,,18/08/12,20.08.12 08.10.12 26.04.13 16.09.13 27.09.13 29.03.14,25/09/13,,,,,,Feasibility requested,,SE(W/Z),29.03.14 & 16.07.14,"After long persuasion and several meeting, JSEB given consent for utilising their infrastructure in line with earlier feasibility survey."
GOMD-IV,TSC-III,DHANBAD,Synergy Polypacks Pvt. Ltd.,0.75,0.75,14/12/12,01/10/13,11.01.13 17.05.13,,,,,,,Feasibility Requested,CE(TSC),SE(W/Z),01/11/13,report not received form site. REMINDER SENT
GOMD-IV,TSC-III,DHANBAD,Balaji Roller Flour Mills (P) Ltd.,1,1,27/11/13,02/12/14,02/12/14,28/04/14,30/04/14,19.01.15,20.01.15,,,Detail Requested,CE(TSC),DCE(W/Z),20.01.15,
GOMD-IV,TSC-III,GIRIDIH,Maa Hi-Tech Steels Private Limited,3,3,09.03.2007,26/03/07,11/04/07,,,,,,,Silent,CE(TSC),SE(W/Z),11/04/07,Silent
GOMD-IV,TSC-III,GIRIDIH,Vinayak Iron & Coke Pvt. Ltd.,1.5,1.5,23.08.2007,,09/06/07,,,,,,,Silent,CE(TSC),SE(W/Z),09/06/07,Report not received. Consumer silent. Report will be sent shortly
GOMD-IV,TSC-III,GIRIDIH,Niranjan Metallic Ltd.,1,10,20.11.2006,,13/03/09,,,,,,,Silent,CE(TSC),SE(W/Z),13/03/09,Report not received from WZ (Div sent report on 26.03.2007)
GOMD-IV,TSC-III,GIRIDIH,Sri Suryam Steels Pvt. Ltd.,3,3,14.10.2004,,,,22/01/08,,,,,Feasibility Report,CE(TSC),CE(PSR),22/01/08,further advice for DS not recie
GOMD-IV,TSC-III,GIRIDIH,Deepshikha Paper Private Limited,0.4,0.4,11.11.2008 30.12.2014,08.01.2015,09.01.2015,,,,,,,Survey Requested,CE(TSC),DCE(W/Z),09.01.15,
GOMD-IV,TSC-III,GIRIDIH,Balaji Hi-Tech Rolling Pvt. Ltd.,0.3,0.3,20.02.2008,,,,,,10/02/09,18/05/13,18/05/13,Detail Report,CE(TSC),CE(PSR),18/05/13,not interested
GOMD-IV,TSC-III,GIRIDIH,Biswanath Ferro Alloys Ltd.,0.5,0.5,11.04.2008,,,,,,,,02/09/11,Detail Report,CE(TSC),CE(PSR),02/09/11,waiting for Constn. Clearance
GOMD-IV,TSC-III,GIRIDIH,Sri Langta Baba Steels (P) Ltd.,4,6,11.06.2007 06.01.2010,20.03.12 30.06.12,21.03.12 30.06.12,20/06/13,20/06/13,27.11.14,27.11.14,,,Detail Requested,CE(TSC),DCE(W/Z),27.11.14,
