CD AS ON 28.02.2015,,,,,
sl,Name of the,Name of the Consumer,Existing CD ,Total LOAD, No. of  
,,Bharat Hi-Tech (Cements) Ltd.,3.500,,wef. 11.06.14
,,Har Gouri Steels Pvt. Ltd.,3.000,,
,,Purulia Metal Casting Pvt. Ltd.,8.250,,
,,J & C Ferro Alloy,3.000,,
D. GOMD - IV,,,,961.350,86
19, PATHERDIH ,"132/33KV: 210MVA(2X80+1X50), 1× 50 MVA in Reserve; 132/25KV:50 MVA(2X25)",,172.050,19
,," WBSEB, Santaldih ",0.800,,
,," BCCL, Putki-Balihari     (132KV) ",25.000,,
,," BCCL, North Amlabad ",3.600,,
,," IISCO, Jitpur ",4.000,,
,," TSL, Jamadoba ",7.000,,
,," BCCL, Sudamdih ",11.000,,
,," JSEB, Digwadih ",11.000,,
,," BCCL, Jealgora ",22.000,,
,, ACC ,7.300,,
,," JSEB, Gobindpur ",19.000,,
,," JSEB, Mukunda ",4.000,,
,," BCCL, Bastacolla ",12.500,,
,," JSEB, Chasnalla ",8.000,,
,," S.E. Rly, Patherdih ",15.000,,wef 1/6/10
,," BCCL, Koylanagar ",5.100,,
,, Electrosteel Castings Ltd. ,5.000,,
,,Parth Ispat  Pvt. Ltd.,0.750,,
,," JSEB, PMCH PSS ",10.000,,
,, Electrosteel Steels Ltd.(Water Pump House) ,1.000,,1.4.14
20, SINDRI ,,,28.250,3
,, PDIL                         (132KV) ,0.250,,
,," JSEB, FCI                 (132KV) ",10.000,,
,," E.C. Rly, Pradhankanta ",18.000,,wef. 15/09/08
,,,,,
21, PUTKI , 132/33KV:210MVA(2X80+1X50) ,,132.700,14
,," JSEB, Katras ",10.000,,
,," JSEB, Katras(Sijua) ",2.500,,
,," BCCL, Katras Project ",9.200,,15.2.14
,," TSL, Bhelatand ",12.000,,wef.10.12.09
,," JSEB, Ganeshpur ",12.000,,
,," JSEB, Jamadoba ",13.000,,
,," JSEB, Godhore ",14.000,,
,, HMFL. Bhuli ,4.000,,
,," BCCL, South Loyabad ",9.000,back 11 to 9  which wgongly entered in 2011,
,," BCCL, Moonidih ",12.500,,
,,BCCL Bhalgora,13.500,,
,,JSEB Sendra-Bansjora,4.000,,
,,BCCL Ramkanali,16.500,,,
,,"Mohuda Raiway Settlement & Pumping Station,SER (33 KV)",0.500,,,
,,,,,,
22,NIMIAGHAT,"132/33; 30MVA(1x20+1x10), 132/25; 50MVA(2x25)",,46.500,3,
,,"E. C. Rly, Nimiaghat",19.000,,wef.14/10/08,
,,"JSEB,Dumri Banaso",25.000,,,
,,"ECR,Gomoh Complex",2.500,,"wef.1/10/08,15.12.09",
,,,,,,
23,GIRIDIH,132/33KV: 210 MVA(2X80+1X50),,143.850,27,-2
,,"JSEB, Giridih",45.000,,,
,,"CCL, Giridih",4.500,,,
,,Allied India Pvt. Ltd.,1.000,,,
,,"Lall Steels Pvt. Ltd,",3.200,,wef 05.04.10,
,,Mongia Hi-Tech(P) Ltd.,7.500,,wef. 28.04.09,
,,Atibir Hi-Tech(P) Ltd.,9.500,,"wef. 18.06.09, 01.03.10",
,,Shivam Iron & Steel Co. (P) Ltd,15.000,,,
,,Zoya Steels Pvt. Ltd.,0.500,,,
,,Balmukund Sponge & Iron Ltd.,17.000,,,
,,Satyam Ferro Tech Pvt Ltd.,8.000,,,
,,Atibir Industries Company Limited,1.350,,,
,,Sundaram  ferro Tech Pvt. Ltd,0.500,,01.01.15,
,,Saluja Steel & Power(P) Ltd,0.500,,,
,,ADI  ISPAT PVT. LTD,3.000,,,
,,RUBY MICA,0.500,,,
,,PRS METALIKS,0.500,,,
,,BIR Steels Pvt. Ltd.,2.000,,,
,,Santpuria Alloys Private Limited,0.500,,,
,,Atibir Industries Co. Ltd. (Concast & Rolling Division),16.000,,"wef. 18.06.09, 01.03.10",
,,Lal Ferro Alloys Company P. Ltd.,0.500,,,
,,Swati Sponge & Iron Pvt. Ltd. ,1.500,,,
,,Harshit Power & Ispat Pvt. Ltd.,0.500,,,
,,Carbon Resources Pvt Ltd.,0.300,,,
,,Gaurishankar Electro-Castings (P) Ltd.,0.500,,,
,,"Saluja Steel & Power Pvt. Ltd, (UNIT#2)",3.000,,,
,,ADI Wires (P) Ltd.,0.500,,,
,,ShreeVenkateshwara Electrocast Private Limited,1.000,,01.10.14,
24,CTPS, ,,336.900,10,
,,"BCCL, Madhuband",30.000,,,
,,"JSEB, Dugda",15.000,,,
,,"JSEB, Chas /(Multifeeder from BIADA)",30.000,,,
,,"JSEB, Jainamore",13.000,,,
,,"E. C. Rly,Rajabera",18.000,,wef.5/10/08,
,,"BSL, Marafari at         (132 KV)",200.000,,"wef 01.07.09, 16.10.09",
,,"BCCL, Dugda",6.000,,,
,,The Eastern Oxygen & Acetylene Pvt. Ltd.,0.400,,,
,,Bokaro Jaypee Cement Ltd. (132 KV),23.000,,,
,,BRL (Bhandardah),1.500,,,
25,BIADA,,,32.100,7,
,,MDA Projects,2.000,,,,,,
,,Shreewali Ferro,3.100,,,,,,
,,Shree Bholay Alloy Pvt.Ltd.,9.000,,"03.02.11,",,,,
,,Hanuman Alloys Pvt.Ltd.,6.500,,11.02.11,,,,
,,"JSEB, Chas",0.000,,,*Increased from combined 23 MVA to 30 MVA(from CTPS + Biada),,,
